1	2	0
2	2	0
3	1	1
4	2	1
5	1	1
6	2	1
7	2	1
8	1	1
9	2	0
10	2	0
11	1	1
12	1	0
13	2	1
14	2	0
15	2	0
16	1	1
17	2	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	2	0
24	1	1
25	2	0
26	1	1
27	2	1
28	1	1
29	1	1
30	2	0
31	1	1
32	1	0
33	1	0
34	2	0
35	1	1
36	1	0
37	1	1
38	1	0
39	1	1
40	1	1
41	1	1
42	1	0
43	1	0
44	1	1
45	1	1
46	1	1
47	1	1
48	1	1
49	1	0
50	1	1
51	1	1
52	1	1
53	1	0
54	1	0
55	1	0
56	2	1
57	1	0
58	1	0
59	1	0
60	1	1
61	1	0
62	1	1
63	1	0
64	2	1
65	1	1
66	2	1
67	1	0
68	2	1
69	1	1
70	1	0
71	2	1
72	1	1
73	1	0
74	1	0
75	2	1
76	1	0
77	2	1
78	2	1
79	2	1
80	1	1
81	2	1
82	2	1
83	2	1
84	1	0
85	1	0
86	2	1
87	2	1
88	2	1
89	2	1
90	2	1
91	2	1
92	1	0
93	2	1
94	1	0
95	1	0
96	2	0
97	2	0
98	2	1
99	1	0
100	2	1
101	2	0
102	2	0
103	2	0
104	2	0
105	2	1
106	2	0
107	1	0
108	2	0
109	2	0
110	1	1
111	2	1
112	2	0
113	2	0
114	1	1
115	2	0
116	2	0
117	2	0
118	1	1
119	2	0
120	2	0
121	1	1
122	1	1
123	2	0
124	2	1
125	2	1
126	1	1
127	1	1
128	1	1
129	1	1
130	1	0
131	2	0
132	1	0
133	2	0
134	2	0
135	2	0
136	1	0
137	2	0
138	1	1
139	2	0
140	2	1
141	2	0
142	1	1
143	2	0
144	2	0
145	1	1
146	1	0
147	1	0
148	1	0
149	2	0
150	1	1
151	1	0
152	2	1
153	1	0
154	1	1
155	2	0
156	1	0
157	1	0
158	1	0
159	2	1
160	1	0
161	1	0
162	2	1
163	2	1
164	1	0
165	2	0
166	2	1
167	1	0
168	1	0
169	1	0
170	2	1
171	2	1
172	1	0
173	2	1
174	2	0
175	1	0
176	1	0
177	2	1
178	2	0
179	1	1
180	1	0
181	2	1
182	2	1
183	1	0
184	2	1
185	1	0
186	2	1
187	2	1
188	2	1
189	2	1
190	2	1
191	2	1
192	2	1
193	2	0
194	1	0
195	1	0
196	2	1
197	2	1
198	2	1
199	2	1
200	2	1
